N,P,K,temperature,humidity,ph,rainfall,label
98,54,45,27.796910002727692,88.9527523691973,5.668749129280386,209.9974915818003,rice
70,58,39,26.011150117432088,90.62108866694068,5.030876741443704,296.9909852161994,rice
89,40,36,21.818249672071005,82.7510676478015,5.456363364439307,252.4756431632238,rice
84,51,45,26.118528947223794,82.09240790978063,5.438216972802827,236.63618432936917,rice
62,39,37,26.803075385877797,86.75748877954314,5.0198974417398,294.2201755684853,rice
73,52,44,23.046137691733705,81.46508171009576,6.026349539768235,244.01524937396013,rice
66,46,42,20.343885211152184,93.63980603118173,5.388169972400025,266.2522284353982,rice
61,40,40,25.467102793432797,82.77281683288291,6.454376941646838,277.51328233611144,rice
93,44,38,25.97899978811085,93.82811352534675,5.132738753077879,219.5982862419145,rice
99,55,36,25.396921323890798,88.80126748495772,6.447882960896207,260.70342476866847,rice
100,49,35,20.15636406741194,86.35102221059554,5.592322277263355,229.3488174718038,rice
70,53,35,27.1134195274865,91.85263310796809,5.908939962171517,292.6300878513349,rice
100,41,43,26.23298126827558,84.96347037278974,5.095337525429035,231.09823217156622,rice
83,39,37,25.91297787707727,84.12082689485096,5.841865138771552,238.29268747537898,rice
73,37,35,27.217295211648732,83.53977379623434,5.384102484141986,204.04335895384312,rice
74,49,44,20.25419126744095,81.61837140489956,5.047143778530101,263.641041126378,rice
91,38,39,22.49292229148875,86.15574384553445,6.1333267078145735,222.87981654916226,rice
91,41,45,26.947849330397045,93.20701758522887,5.93653107220069,229.5633685837714,rice
65,46,38,28.92558998489978,88.09013362873476,6.211160232746094,289.6091299923493,rice
98,35,35,22.279351625419416,86.40661682939384,6.22702214888374,286.07305832563435,rice
98,40,42,25.34089419375442,87.27244957038475,6.038654049335405,226.94123337985215,rice
83,49,45,23.232029320207552,87.7818593261505,6.054528438342767,236.3629602379294,rice
71,41,36,27.12270589924442,82.221303949301,6.496610727573413,226.6781014275285,rice
61,36,40,20.330507329005485,85.17606872040025,5.951527017052046,268.0705451554767,rice
85,40,41,26.721355474058786,91.42429422993077,5.356456315988599,272.82163486118594,rice
83,39,38,29.83423140894843,85.9823666366683,6.224647809829076,279.8345124984551,rice
68,40,37,25.90892943188242,90.16346542763424,5.024881743391784,251.2093058299281,rice
78,54,41,21.743664290049914,90.364066071537,5.580103019450807,293.67299887367346,rice
